site_id,name,subregion,typology,ownership,zone,zoning_note,height_storeys,asofright_u_ha,group_area_1950,lat,lon,zone_class,tranche,publicly_owned,zoning_blocked,land_type
S01,Wingfield,Northern Metro,Brownfield-Strategic,National,TR2,"Military reserve; no residential right, full rezoning",0,0,State / military reserve,-33.907,18.523,No residential right,Tranche 3 (2034-2037),True,True,Brownfield
S02,Ysterplaat,Northern Metro,Brownfield-Strategic,National,TR2,"Military reserve; no residential right, full rezoning",0,0,State / military reserve,-33.904,18.493,No residential right,Tranche 3 (2034-2037),True,True,Brownfield
S03,Culemborg,Foreshore,Brownfield-Rail,National-Rail,TR2,Rail reserve; Transnet release then rezoning,0,0,Industrial / rail reserve,-33.916,18.438,No residential right,Tranche 3 (2034-2037),True,True,Brownfield
S04,Salt River Market,Inner City,Brownfield-Infill,City,GB2,General Business; Salt River regeneration overlay,6,135,Declared White; Coloured residents removed,-33.928,18.463,Business / CBD,Tranche 2 (2030-2033),True,False,Brownfield
S05,Woodstock Hospital,Inner City,Adaptive-Reuse,Provincial,CO1,"Community (hospital); rezone to GR/MU, ~8 storeys likely",0,0,Declared White; Coloured residents removed,-33.931,18.452,No residential right,Tranche 2 (2030-2033),True,True,Adaptive
S06,Pickwick Road,Inner City,Infill,City,MU1,Mixed Use 1; Woodstock-Salt River local area overlay,4,85,Declared White; Coloured residents removed,-33.93,18.459,Mixed use,Tranche 1 (2027-2029),True,False,Infill
S07,Founders Garden,CBD,Infill,City,GB7,CBD business; no fixed height limit in the core,15,300,Declared White,-33.921,18.423,Business / CBD,Tranche 1 (2027-2029),True,False,Infill
S08,Helen Bowden,Atlantic Seaboard,Adaptive-Reuse,Provincial,CO1,Nurses home; Green Point height + view corridors ~8,0,0,Declared White,-33.907,18.418,No residential right,Tranche 2 (2030-2033),True,True,Adaptive
S09,Prestwich Precinct,Atlantic Seaboard,Infill,City,GB2,General Business; heritage burial-ground constraint,8,180,Declared White; Prestwich burial ground,-33.913,18.418,Business / CBD,Tranche 2 (2030-2033),True,False,Infill
S10,District Six,Inner City,Restitution,National-Restitution,GR2,"District Six restitution framework, ~6 storeys",6,135,Declared White 1966; ~60 000 removed,-33.929,18.431,Residential,Tranche 3 (2034-2037),True,False,Restitution
S11,Conradie Park,Pinelands,Brownfield-Delivered,Provincial,MU2,Already rezoned; Conradie precinct plan,8,180,Declared White,-33.94,18.504,Mixed use,Tranche 1 (2027-2029),True,False,Brownfield
S12,Two Rivers / Oude Molen,Observatory,Greenfield-Sensitive,Provincial,OS2,"Open space + heritage; TRUP framework, heights ~4",0,0,Declared White,-33.937,18.478,No residential right,Tranche 3 (2034-2037),True,True,Greenfield
S13,Ndabeni / Maitland,Northern Metro,Brownfield-Industrial,Mixed,GI1,General Industrial; rezoning to MU required,0,0,"Ndabeni African location, cleared 1930s",-33.925,18.488,Industrial - rezoning needed,Tranche 2 (2030-2033),False,True,Brownfield
S14,Epping Market,Northern Metro,Brownfield-Industrial,City,GI1,General Industrial; market relocation then rezoning,0,0,Industrial reserve,-33.933,18.535,Industrial - rezoning needed,Tranche 2 (2030-2033),True,True,Brownfield
S15,Athlone Power Station,Cape Flats,Brownfield-Industrial,City,GI2,Utility/industrial; rezoning plus remediation,0,0,Declared Coloured,-33.96,18.517,Industrial - rezoning needed,Tranche 3 (2034-2037),True,True,Brownfield
S16,Bellville CBD,Northern Metro,Brownfield-Infill,Mixed,GB5,Voortrekker Road corridor; height incentive zone,12,260,Declared White,-33.899,18.63,Business / CBD,Tranche 1 (2027-2029),False,False,Brownfield
S17,Parow / Elsies River,Northern Metro,Corridor-Infill,Mixed,GB2,Corridor business/GR4 mix,6,135,Coloured (Elsies River) / White (Parow),-33.909,18.585,Business / CBD,Tranche 2 (2030-2033),False,False,Corridor
S18,Delft Symphony,Cape Flats,Greenfield-Periphery,City,GR1,General Residential 1; densification needs departure,3,60,Post-1990 resettlement area,-33.976,18.647,Residential,Tranche 2 (2030-2033),True,False,Greenfield
S19,Philippi East,Cape Flats,Greenfield-Contested,Mixed,AG,"Agricultural; PHA policy conflict, rezoning contested",0,0,"African informal settlement, post-1980s",-34.011,18.57,No residential right,Tranche 3 (2034-2037),False,True,Greenfield
S20,Macassar,Helderberg,Greenfield-Periphery,City,SR1,Single Residential; rezoning for anything denser,2,40,Declared Coloured,-34.064,18.746,Residential,Tranche 2 (2030-2033),True,False,Greenfield
S21,Kuyasa / Khayelitsha,Cape Flats,Infill-Upgrading,City,GR1,General Residential 1; upgrading context,3,60,"Khayelitsha, founded 1983 for African relocation",-34.035,18.669,Residential,Tranche 2 (2030-2033),True,False,Infill
